"covar","value","std_error","t_value","p_value","id_covar","aic","r2","iter_start","iter_end","start_date","end_date","n","pe"
"Intercept",1.14341286578445,0.528611230621994,2.16305064960319,0.0332800899879906,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"bottom_DRP_ugL",0.00574404355997371,0.00182297200328318,3.1509225317935,0.00223211997198224,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"tli_lag_1",0.542927275188035,0.0807803361655712,6.72103262946598,1.79721630334189e-09,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"tli_lag_10",0.183960107586676,0.0808824730119789,2.27441249922503,0.0254009470939893,"bottom_DRP_ugL",28.1680950672563,0.456319378097732,1,101,"2000-07-11","2008-11-18",101,0.875552185939702
"Intercept",1.17408439027815,0.528471526681525,2.22166064016859,0.0289016742052591,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"bottom_DRP_ugL",0.00583763802995732,0.00182210029448182,3.20379621672662,0.00189608905786845,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"tli_lag_1",0.531500679428866,0.0806925561820005,6.58673742135615,3.29039110479793e-09,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"tli_lag_10",0.188376119789427,0.0811926794317917,2.32011212227178,0.022675718167695,"bottom_DRP_ugL",28.5085150908537,0.450510997013682,2,102,"2000-08-23","2008-12-16",101,0.8672451991942
"Intercept",1.03876269719847,0.542621302460439,1.91434190380723,0.0588634112198631,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
"bottom_DRP_ugL",0.00482069340484785,0.00184150977077058,2.61779409556466,0.0104368113240809,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
"tli_lag_1",0.541261751581456,0.0836707962243412,6.4689446737211,5.57612554829597e-09,"bottom_DRP_ugL",34.1694956360672,0.426309903500324,3,103,"2000-09-28","2009-01-13",101,0.874342010303833
