"date","discharge_m3s"
"2014-03-12T12:00:00Z",0.200345812
"2014-03-13T12:00:00Z",0.200084851
"2014-03-14T12:00:00Z",0.199870649
"2014-03-15T12:00:00Z",0.285467189
"2014-03-16T12:00:00Z",0.29344727
"2014-03-17T12:00:00Z",0.206175377
"2014-03-18T12:00:00Z",0.202318605
"2014-03-19T12:00:00Z",0.199801167
"2014-03-20T12:00:00Z",0.203656193
"2014-03-21T12:00:00Z",0.202062898
"2014-03-22T12:00:00Z",0.20448152
"2014-03-23T12:00:00Z",0.216465942
"2014-03-24T12:00:00Z",0.210143588
"2014-03-25T12:00:00Z",0.209648008
"2014-03-26T12:00:00Z",0.20013306
"2014-03-27T12:00:00Z",0.194851368
"2014-03-28T12:00:00Z",0.192687211
"2014-03-29T12:00:00Z",0.19234007
"2014-03-30T12:00:00Z",0.189876907
"2014-03-31T12:00:00Z",0.193214817
"2014-04-01T12:00:00Z",0.218296978
"2014-04-02T12:00:00Z",0.210232158
"2014-04-03T12:00:00Z",0.209707998
"2014-04-04T12:00:00Z",0.212317446
"2014-04-05T12:00:00Z",0.209588424
"2014-04-06T12:00:00Z",0.211922163
"2014-04-07T12:00:00Z",0.191693129
"2014-04-08T12:00:00Z",0.19091523
"2014-04-09T12:00:00Z",0.192001279
"2014-04-10T12:00:00Z",0.216251485
"2014-04-11T12:00:00Z",0.236149833
"2014-04-12T12:00:00Z",0.203180349
"2014-04-13T12:00:00Z",0.198098893
"2014-04-14T12:00:00Z",0.1994582
"2014-04-15T12:00:00Z",0.201852965
"2014-04-16T12:00:00Z",0.205998372
"2014-04-17T12:00:00Z",0.419592959
"2014-04-18T12:00:00Z",0.296380905
"2015-12-01T12:00:00Z",0.194465136
"2015-12-02T12:00:00Z",0.196469239
"2015-12-03T12:00:00Z",0.195472586
"2015-12-04T12:00:00Z",0.195694243
"2015-12-05T12:00:00Z",0.195397051
"2015-12-06T12:00:00Z",0.19466718
"2015-12-07T12:00:00Z",0.195005323
"2015-12-08T12:00:00Z",0.192433708
"2015-12-09T12:00:00Z",0.192676392
"2015-12-10T12:00:00Z",0.193154482
"2015-12-11T12:00:00Z",0.193127962
"2015-12-12T12:00:00Z",0.194322601
"2015-12-13T12:00:00Z",0.195012066
"2015-12-14T12:00:00Z",0.194365509
