"note","lake","sum_alum","date"
"alum_units_L_day","Rotoehu",0,"2019-07-16"
"alum_units_L_day","Rotoehu",0,"2019-09-18"
"alum_units_L_day","Rotoehu",0,"2019-11-19"
"alum_units_L_day","Rotoehu",0,"2019-12-10"
"alum_units_L_day","Rotoehu",0,"2020-01-21"
"alum_units_L_day","Rotoehu",0,"2020-02-18"
"alum_units_L_day","Rotoehu",0,"2020-03-20"
"alum_units_L_day","Rotoehu",0,"2020-04-20"
"alum_units_L_day","Rotoehu",0,"2020-05-20"
"alum_units_L_day","Rotoehu",0,"2020-06-16"
"alum_units_L_day","Rotoehu",0,"2020-07-22"
"alum_units_L_day","Rotoehu",0,"2020-08-19"
"alum_units_L_day","Rotoehu",0,"2020-09-17"
"alum_units_L_day","Rotoehu",0,"2020-10-13"
"alum_units_L_day","Rotoehu",0,"2020-11-17"
"alum_units_L_day","Rotoehu",1440,"2020-12-15"
"alum_units_L_day","Rotoehu",240,"2020-12-16"
"alum_units_L_day","Rotoehu",8160,"2021-01-19"
"alum_units_L_day","Rotoehu",6960,"2021-02-17"
"alum_units_L_day","Rotoehu",6480,"2021-03-16"
"alum_units_L_day","Rotoehu",8880,"2021-04-22"
"alum_units_L_day","Rotoehu",6240,"2021-05-18"
"alum_units_L_day","Rotoehu",6720,"2021-06-15"
"alum_units_tonnes","Okaro",6e-06,"2003-12-18"
"alum_units_tonnes","Okaro",112,"2008-01-24"
"alum_units_tonnes","Okaro",396,"2009-09-25"
"alum_units_tonnes","Okaro",5,"2012-01-19"
"alum_units_tonnes","Okaro",8,"2012-07-20"
"alum_units_tonnes","Okaro",14.6,"2012-09-20"
"alum_units_tonnes","Okaro",5.2,"2013-08-23"
"alum_units_tonnes","Okaro",5.2,"2013-09-19"
"alum_units_tonnes","Okaro",4.6,"2014-06-19"
"alum_units_tonnes","Okaro",5.2,"2015-09-17"
"alum_units_tonnes","Okaro",9.8,"2016-04-21"
"alum_units_tonnes","Okaro",5.2,"2016-09-22"
"alum_units_tonnes","Okaro",5.2,"2017-09-21"
"alum_units_tonnes","Okaro",15,"2019-04-17"
"alum_units_tonnes","Okaro",7.8,"2019-09-20"
"alum_units_tonnes","Okaro",7.8,"2020-09-18"
"alum_units_tonnes","Okaro",6.5,"2021-05-20"
