"lake","site","laketype","date","chla_ugL_INT","NH4_mgL","pH","secchi_m","TN_mgm3","TP_mgm3","depth_m","method","TN_TP"
"Rotoiti","Okawa","Stratified",2007-02-25,5,0.006,8.5,3.12,NA,33,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-02-25,5.6,0.004,7.4,6.17142857142857,NA,18,"0.1","integrated",NA
"Okataina","1","Stratified",2007-02-25,1.7,0.007,7.6,12,NA,7,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-02-26,18.9,0.027,8.7,1.78,NA,100,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-03-19,0.9,0.006,7.6,11.43,NA,5,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-03-19,18.65,0.067,8.35,2.19,NA,109,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-03-19,7.4,0.028,7.8,4.84,NA,33,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-03-19,9.3,0.027,7.2,6.24285714285714,NA,18,"0.1","integrated",NA
"Okataina","1","Stratified",2007-03-19,1.3,0.001,7.8,9.45,NA,7,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-03-20,NA,NA,NA,2.19,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-03-20,NA,NA,NA,2.33,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-03-20,0.966666666666667,0.02,6.76666666666667,7.63,NA,4.33333333333333,"0.1","integrated",NA
"Okareka","1","Stratified",2007-03-20,2.15,0.0045,7.95,7.44,NA,9,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-03-20,18.4,0.107,8,2.34333333333333,NA,118,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-03-20,1.5,0.005,8,9.38,NA,9,"0.1","integrated",NA
"Okaro","1","Stratified",2007-03-21,4.6,0.04,8.75,1.79,NA,23.5,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-03-21,0.9,0.018,6.8,7.15333333333333,NA,4,"0.1","integrated",NA
"Okareka","1","Stratified",2007-03-21,2.3,0.001,7.9,7.69333333333333,NA,9,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-03-21,2.35,0.0105,7.65,4.61,NA,10,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-03-21,5.7,0.012,7.7,5.38,NA,44,"0.1","integrated",NA
"Okaro","1","Stratified",2007-03-22,7.6,0.013,8.9,2.04,NA,29,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-03-22,2.6,0.008,7.8,5.115,NA,11,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-04-22,0.9,0.001,7.5,11.71,NA,4,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-04-22,5,0.015,7.85,4.85,NA,28.5,"0.1","integrated",NA
"Okataina","1","Stratified",2007-04-22,1.3,0.004,7.7,13.49,NA,9,"0.1","integrated",NA
"Okareka","1","Stratified",2007-04-23,3.4,0.016,7.8,7.94666666666667,NA,7,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-04-23,14.7,0.108,7.9,2.49666666666667,NA,66,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-04-23,2.6,0.002,7.9,3.74,NA,24,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-04-23,5.7,0.016,7.2,6.31428571428571,NA,14,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-04-23,1.8,0.03,7.8,7.69,NA,9,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-04-24,1.2,0.001,6.8,6.67666666666667,NA,2,"0.1","integrated",NA
"Okaro","1","Stratified",2007-04-25,7.65,0.0075,8.45,2.29,NA,25.5,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-04-25,3,0.031,7.5,5.62,NA,2,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-04-25,4.4,0.007,7.2,5.59,NA,58,"0.1","integrated",NA
"Okaro","1","Stratified",2007-04-26,7.7,0.002,8,2.565,NA,22,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-05-21,0.9,0.015,7.6,12.11,NA,3,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-05-21,11,0.0805,7.9,2.65,NA,55,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-05-21,3.6,0.009,7.3,4.85,NA,22,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-05-21,6.2,0.014,6.9,6.38571428571429,NA,16,"0.1","integrated",NA
"Okataina","1","Stratified",2007-05-21,1.5,0.006,7.6,13.04,NA,7,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-05-22,1.4,0.0055,6.65,6.2,NA,3.5,"0.1","integrated",NA
"Okareka","1","Stratified",2007-05-22,4.2,0.01,7.6,8.2,NA,9,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-05-22,7.3,0.053,7.9,3.31,NA,44,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-05-22,1.6,0.011,7.8,6,NA,4,"0.1","integrated",NA
"Okaro","1","Stratified",2007-05-23,8.1,0.089,7.4,2.84,NA,46,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-05-23,1.6,0.01,6.5,6.165,NA,5,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-05-23,2.4,0.021,7.5,5.5,NA,6.5,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-05-23,2.9,0.009,6.9,5.8,NA,55,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-05-24,1.8,0.011,7.5,6.335,NA,11,"0.1","integrated",NA
"Okaro","1","Stratified",2007-06-18,11.25,0.347,7.3,2.03,NA,79,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-06-18,1.55,0.008,7.45,7.17,NA,8,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-06-18,2.6,0.006,6.7,6.175,NA,59,"0.1","integrated",NA
"Okaro","1","Stratified",2007-06-19,14.4,0.605,7.2,2.03,NA,112,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-06-19,1.3,0.005,7.4,6.975,NA,5,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-06-19,1.1,0.008,7.2,12.83,NA,2,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-06-19,7.5,0.066,7.85,3.97,NA,40,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-06-19,3.1,0.0065,7.25,4.89,NA,22,"0.1","integrated",NA
"Okataina","1","Stratified",2007-06-19,1.1,0.006,7.2,12.05,NA,7,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-06-20,NA,NA,NA,2.275,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-06-20,NA,NA,NA,2.27,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-06-20,2.25,0.0155,6.35,6.13,NA,5,"0.1","integrated",NA
"Okareka","1","Stratified",2007-06-20,6,0.001,7.3,6.35,NA,14,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-06-20,7.7,0.079,7.8,3.41,NA,36,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-06-20,2.6,0.004,7.2,4.7,NA,22,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-06-20,7.5,0.032,6.7,6.45714285714286,NA,27,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-06-20,2.5,0.016,7.7,7.99,NA,18,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-06-21,2.9,0.021,6.2,6.32,NA,5,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-07-23,1.8,0.00866666666666667,7.2,11.29,NA,4,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-07-23,9.9,0.047,7.8,2.85,NA,30,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-07-23,8.1,0.021,7.2,4.4,NA,31,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-07-23,13.3,0.003,7.1,6.52857142857143,NA,22,"0.1","integrated",NA
"Okataina","1","Stratified",2007-07-23,3.2,0.014,7.2,8.68,NA,9,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-07-24,NA,NA,NA,1.95,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-07-24,NA,NA,NA,1.57,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-07-24,2.7,0.0195,6.36,6.51,NA,5,"0.1","integrated",NA
"Okareka","1","Stratified",2007-07-24,6.9,0.011,7.48,8.24,NA,9,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-07-24,2.25,0.00933333333333333,7.195,9.75,NA,7.5,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-07-24,12.1,0.015,7.8,2.48,NA,24,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-07-24,5.65,0.0175,7.095,4.9,NA,35.5,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-07-24,11.2,0.006,7.06,6.6,NA,23.5,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-07-24,3,0.017,7.75,7.825,NA,11,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-07-25,2.5,0.018,6.52,6.84,NA,5,"0.1","integrated",NA
"Okaro","1","Stratified",2007-07-26,17.6,0.3045,7.4,2.03,NA,109,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-07-26,2.35,0.0045,7.4,6.78,NA,9.5,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-07-26,2.6,0.005,6.9,5.45,NA,65,"0.1","integrated",NA
"Okaro","1","Stratified",2007-07-27,20.8,0.004,7.6,2.455,NA,106,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-07-27,3.4,0.004,7.4,5.985,NA,14,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-08-20,2.7,0.01,7.19,8.56,NA,11,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-08-20,15.3,0.01,7.86,2.11,NA,28,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-08-20,3.2,0.014,6.99,4.9,NA,40,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-08-20,9.1,0.009,7.02,7.7,NA,25,"0.1","integrated",NA
"Okataina","1","Stratified",2007-08-20,4.9,0.012,7.29,7.65,NA,16,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-08-21,NA,NA,NA,2.18,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-08-21,NA,NA,NA,1.75,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-08-21,1.7,0.001,6.3,7.17,NA,9,"0.1","integrated",NA
"Okareka","1","Stratified",2007-08-21,4.4,0.001,7.5,9.49,NA,11,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-08-21,18.5,0.005,7.92,2.2,NA,32,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-08-21,1.1,0.001,7.7,9.02,NA,20,"0.1","integrated",NA
"Okaro","1","Stratified",2007-08-22,11.3,0.322,7.5,2.88,NA,88,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-08-22,3.45,0.0105,7.35,5.19,NA,14,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-08-22,2.2,0.01,7,6.26,NA,65,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-08-23,3.5,0.017,7.3,5.0775,NA,14,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-09-17,0.8,0.009,7.4,13.21,NA,2,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-09-17,14.45,0.003,7.91,2.29,NA,29,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-09-17,4.6,0.012,7.4,3.53,NA,29,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-09-17,2.4,0.004,7,7.17,NA,11,"0.1","integrated",NA
"Okataina","1","Stratified",2007-09-17,2.1,0.001,7.4,9.64,NA,11,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-09-18,NA,NA,NA,3.84,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-09-18,NA,NA,NA,3.9,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-09-18,1.9,0.002,6.4,7.5,NA,4,"0.1","integrated",NA
"Okareka","1","Stratified",2007-09-18,5.5,0.001,7.6,7.5,NA,4,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-09-18,10.4,0.001,7.9,2.035,NA,26,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-09-18,0.7,0.001,7.6,9.81,NA,4,"0.1","integrated",NA
"Okaro","1","Stratified",2007-09-19,28.5,0.1695,8.5,1.695,NA,70.5,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-09-19,3.2,0.013,7.4,4.965,NA,5,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-09-19,7.9,0.008,7.2,2.54,NA,38,"0.1","integrated",NA
"Okaro","1","Stratified",2007-09-20,45.7,0.017,9.5,1.62,NA,53,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-10-15,1.2,0.001,7.3,10.88,NA,7.5,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-10-15,24.1,0.004,7.8,1.78,NA,20,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-10-15,7.3,0.001,7,4.925,NA,20,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-10-15,8.2,0.028,6.9,6.64,NA,9,"0.1","integrated",NA
"Okataina","1","Stratified",2007-10-15,1.7,0.002,7.4,9.99,NA,2,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-10-17,NA,NA,NA,2.32,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-10-17,NA,NA,NA,2.35,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-10-17,1.6,0.001,6.7,7.135,NA,5,"0.1","integrated",NA
"Okareka","1","Stratified",2007-10-17,6,0.007,7.4,8.9,NA,9,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-10-17,1,0.008,7.9,10.96,NA,9,"0.1","integrated",NA
"Okaro","1","Stratified",2007-10-23,61.15,0.021,9.4,1.545,NA,62,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-10-23,5,0.01,7.6,4.45,NA,9,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-10-23,8.5,0.006,7.3,3.83,NA,26,"0.1","integrated",NA
"Okaro","1","Stratified",2007-10-24,76.6,0.025,9.3,1.2725,NA,71,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-11-12,0.7,0.003,7.4,13.57,NA,13,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-11-12,15.35,0.0085,7.8,2.9,NA,24.5,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-11-12,4.3,0.006,7.4,3.1,NA,36,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-11-12,6.6,0.006,7,6.322,NA,22,"0.1","integrated",NA
"Okataina","1","Stratified",2007-11-12,1.7,0.004,7.6,10.62,NA,11,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-11-13,6.6,0.013,7.8,3.45,NA,29,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-11-14,NA,NA,NA,3.585,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-11-14,NA,NA,NA,3.475,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-11-14,1.1,0.004,6,6.545,NA,5,"0.1","integrated",NA
"Okareka","1","Stratified",2007-11-14,2.4,0.022,7.8,9.35,NA,4,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-11-14,0.7,0.007,7.9,10.45,NA,7,"0.1","integrated",NA
"Okaro","1","Stratified",2007-11-15,80.2,0.009,9.8,1,NA,33,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-11-15,5.3,0.011,7.5,4.1,NA,7.5,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-11-15,3.8,0.011,7.4,3.23,NA,36,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-11-16,5.6,0.012,7.4,3.525,NA,6,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-12-10,0.9,0.001,7.2,16.42,NA,11,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-12-10,5.9,0.105,7.6,4,NA,52,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-12-10,4.9,0.015,6.9,5,NA,43,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-12-10,6.2,0.019,6.8,6.365,NA,27,"0.1","integrated",NA
"Okataina","1","Stratified",2007-12-10,1.9,0.006,7.4,9.91,NA,14,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-12-12,NA,NA,NA,2.965,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-12-12,NA,NA,NA,3.045,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-12-12,1.3,0.001,6.9,6.525,NA,2,"0.1","integrated",NA
"Okareka","1","Stratified",2007-12-12,6.3,0.004,7.6,7.075,NA,9,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-12-12,1.3,0.002,7.7,10.3,NA,4,"0.1","integrated",NA
"Okaro","1","Stratified",2007-12-13,20.3,0.005,9.3,1.94,NA,38,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-12-13,4.5,0.034,7.2,2.95,NA,9,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-12-13,3.5,0.052,7.5,3.03,NA,40,"0.1","integrated",NA
"Rotoma","1","Stratified",2008-01-06,0.75,0.0075,7.4,14.59,NA,7.5,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2008-01-06,9.65,0.059,8.1,1.955,NA,44,"0.1","integrated",NA
"Rotoiti","3","Stratified",2008-01-06,5.85,0.0145,7.05,7.6,NA,23.5,"0.1","integrated",NA
"Rotoma","1","Stratified",2008-01-14,0.6,0.014,7.6,15.045,NA,4,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2008-01-14,2.9,0.004,8.3,5,NA,28,"0.1","integrated",NA
"Rotoiti","3","Stratified",2008-01-14,5.5,0.01,7.3,7.6,NA,20,"0.1","integrated",NA
"Okataina","1","Stratified",2008-01-14,1.8,0.004,8,13.19,NA,7,"0.1","integrated",NA
"Rotorua","5","Polymictic",2008-01-15,NA,NA,NA,2.71,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2008-01-15,NA,NA,NA,2.71,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2008-01-15,1,0.007,6.6,6.3925,NA,4,"0.1","integrated",NA
"Okareka","1","Stratified",2008-01-15,2.1,0.012,8.1,9.1,NA,7,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2008-01-15,13.4,0.013,8.6,1.99,NA,36,"0.1","integrated",NA
"Tarawera","5","Stratified",2008-01-15,1.8,0.007,8,8.04,NA,5,"0.1","integrated",NA
"Okaro","1","Stratified",2008-01-16,5.1,0.032,8.9,1.91,NA,20,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2008-01-16,3.1,0.078,7.1,3.795,NA,9,"0.1","integrated",NA
"Rotomahana","2","Stratified",2008-01-16,2.3,0.006,7.7,5.26,NA,44,"0.1","integrated",NA
"Okaro","1","Stratified",2008-01-23,4.03333333333333,0.0393333333333333,8.53333333333333,1.88,NA,18.6666666666667,"0.1","integrated",NA
"Tikitapu","1","Stratified",2008-01-29,1.15,0.0075,6.7,6.26,NA,3,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2008-01-29,2.95,0.0395,7.25,4.64,NA,8,"0.1","integrated",NA
"Rotoma","1","Stratified",2008-02-18,1.6,0.008,7.5,15.5,NA,4,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2008-02-18,11.3,0.012,8.3,2.025,NA,35,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2008-02-18,10.05,0.002,7.7,5,NA,31,"0.1","integrated",NA
"Rotoiti","3","Stratified",2008-02-18,7.6,0.011,7,7.6,NA,18,"0.1","integrated",NA
"Okataina","1","Stratified",2008-02-18,1.9,0.004,7.9,11.1,NA,9,"0.1","integrated",NA
"Rotorua","5","Polymictic",2008-02-19,NA,NA,NA,2.11,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2008-02-19,NA,NA,NA,2.09,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2008-02-19,1.3,0.008,6.8,6.76,NA,2,"0.1","integrated",NA
"Okareka","1","Stratified",2008-02-19,3.1,0.004,7.62,6.21,NA,2,"0.1","integrated",NA
"Tarawera","5","Stratified",2008-02-19,1.5,0.022,7,8.11,NA,4,"0.1","integrated",NA
"Okaro","1","Stratified",2008-02-20,2.96666666666667,0.0466666666666667,8.16666666666667,3.625,NA,17.3333333333333,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2008-02-20,2.8,0.001,7.4,4.35,NA,7,"0.1","integrated",NA
"Rotomahana","2","Stratified",2008-02-20,2.1,0.026,7.8,4.64,NA,20,"0.1","integrated",NA
"Okaro","1","Stratified",2008-02-21,1.9,0.054,7.8,3.5625,NA,16,"0.1","integrated",NA
"Rotoma","1","Stratified",2008-03-17,0.6,0.015,7.6,14.15,NA,4.5,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2008-03-17,6.9,0.017,8.1,3.08,NA,22,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2008-03-17,2.9,0.047,7.8,3.65,NA,15,"0.1","integrated",NA
"Rotoiti","3","Stratified",2008-03-17,4.6,0.039,7.4,7.554,NA,7,"0.1","integrated",NA
"Okataina","1","Stratified",2008-03-17,2.3,0.015,8,9.95,NA,2,"0.1","integrated",NA
"Rotorua","5","Polymictic",2008-03-18,NA,NA,NA,2.3,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2008-03-18,NA,NA,NA,2.32,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2008-03-18,0.7,0.018,6.7,7.8,NA,3.6,"0.1","integrated",NA
"Okareka","1","Stratified",2008-03-18,1.7,0.029,7.8,8.48,NA,2.66666666666667,"0.1","integrated",NA
"Tarawera","5","Stratified",2008-03-18,1.7,0.015,8,9.27,NA,4,"0.1","integrated",NA
"Okaro","1","Stratified",2008-03-19,1.9,0.031,7.9,3.5,NA,13.5,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2008-03-19,3.9,0.023,7.6,4.915,NA,2,"0.1","integrated",NA
"Rotomahana","2","Stratified",2008-03-19,2.9,0.02,7.6,5.045,NA,56,"0.1","integrated",NA
"Okaro","1","Stratified",2008-03-20,1.9,0.008,8,3.19,NA,11,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2008-03-22,3.6,0.0365,7.5,5.48,NA,5.5,"0.1","integrated",NA
"Rotoma","1","Stratified",2008-04-20,1.2,0.008,7.5,12.58,NA,5,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2008-04-20,9.35,0.0155,8.05,2.41,NA,23.5,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2008-04-20,4.3,0.026,7.7,3.51,NA,16.5,"0.1","integrated",NA
"Okataina","1","Stratified",2008-04-20,1.7,0.009,7.6,10.51,NA,7,"0.1","integrated",NA
"Rotorua","5","Polymictic",2008-04-21,NA,NA,NA,2.45,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2008-04-21,NA,NA,NA,2.2,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2008-04-21,1.1,0.0095,6.6,8.43,NA,5.2,"0.1","integrated",NA
"Okareka","1","Stratified",2008-04-21,2.6,0.015,7.7,6.54,NA,3.33333333333333,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2008-04-21,11.8,0.014,8,2.5575,NA,25,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2008-04-21,5.7,0.005,7.6,4.53,NA,18,"0.1","integrated",NA
"Rotoiti","3","Stratified",2008-04-21,6.9,0.012,7.1,7.508,NA,9,"0.1","integrated",NA
"Tarawera","5","Stratified",2008-04-21,2.2,0.001,7.9,7.91,NA,5,"0.1","integrated",NA
"Okaro","1","Stratified",2008-04-22,9.45,0.0125,7.7,2.88,NA,15.5,"0.1","integrated",NA
"Tikitapu","1","Stratified",2008-04-22,1.5,0.001,6.5,7.39,NA,6.8,"0.1","integrated",NA
"Okareka","1","Stratified",2008-04-22,3.5,0.001,7.6,7.22,NA,4,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2008-04-22,3.3,0.05,7.4,5.23,NA,9,"0.1","integrated",NA
"Rotomahana","2","Stratified",2008-04-22,8,0.006,7.3,5.45,NA,18,"0.1","integrated",NA
"Okaro","1","Stratified",2008-04-23,17,0.017,7.4,3.055,NA,20,"0.1","integrated",NA
"Rotoma","1","Stratified",2008-05-19,1.4,0.005,7.4,12.1,NA,10,"0.1","integrated",NA
