"lake","site","laketype","date","chla_ugL_INT","NH4_mgL","pH","secchi_m","TN_mgm3","TP_mgm3","depth_m","method","TN_TP"
"Rotoma","1","Stratified",2007-01-16,0.4,0.02,7.5,9.99,NA,11,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-01-16,19.1,0.022,8.3,0.57,NA,74,"0.1","integrated",NA
"Rotoiti","Okawa","Stratified",2007-01-16,6,0.016,7.7,4.8,NA,37,"0.1","integrated",NA
"Rotoiti","3","Stratified",2007-01-16,4.5,0.013,7.1,6.1,NA,20,"0.1","integrated",NA
"Okataina","1","Stratified",2007-01-16,1.8,0.013,7.8,8.19,NA,14,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-01-17,NA,NA,NA,2.42,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-01-17,NA,NA,NA,2.4,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-01-17,1.1,0.024,6.7,5.17,NA,5,"0.1","integrated",NA
"Okareka","1","Stratified",2007-01-17,1.5,0.001,7.8,8.82,NA,7,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-01-17,2.1,0.021,8,6.48,NA,18,"0.1","integrated",NA
"Okaro","1","Stratified",2007-01-18,34.6,0.967,9.8,1.93,NA,36,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-01-18,2.5,0.03,7.4,5.34,NA,9,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-01-18,3.7,0.016,7.7,3.13,NA,24,"0.1","integrated",NA
"Okaro","1","Stratified",2007-02-20,1.6,0.067,8.6,3.95,NA,18,"0.1","integrated",NA
"Rerewhakaaitu","1","Polymictic",2007-02-20,2.1,0.013,7.5,5.53,NA,9,"0.1","integrated",NA
"Rotorua","5","Polymictic",2007-02-21,NA,NA,NA,1.98,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2007-02-21,NA,NA,NA,1.75,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2007-02-21,1.03333333333333,0.022,6.73333333333333,4.81,NA,4.66666666666667,"0.1","integrated",NA
"Okareka","1","Stratified",2007-02-21,2,0.008,8,10.35,NA,9,"0.1","integrated",NA
"Tarawera","5","Stratified",2007-02-21,1.8,0.019,8,9.6,NA,7,"0.1","integrated",NA
"Rotomahana","2","Stratified",2007-02-21,1.7,0.001,7.7,5.24,NA,31,"0.1","integrated",NA
"Rotoma","1","Stratified",2007-02-25,1,0.001,7.6,12.57,NA,4,"0.1","integrated",NA
"Rotoehu","3","Polymictic",2007-02-25,19,0.0245,8.5,1.37,NA,87,"0.1","integrated",NA
