"lake","date","depth_m","temp_C","windspeed","thermo_depth","schmidt_stability","epi_temp","epi_dens","hypo_temp","hypo_dens","meta_top","meta_bot","uStar","lake_num","strat"
NA,1990-07-26,0,9.39999961853027,NA,0,7.52555053621329,9.10358974596564,999.801436082953,NA,NA,NA,NA,NA,NA,0
NA,1990-09-27,0,13.8999996185303,NA,1,52.3495865475276,13.7311706449871,999.310090913137,12.5031677672225,999.467158340216,1,1,NA,NA,1
NA,1990-11-20,0,18,NA,11,79.2119732944851,17.7910519370749,998.663214101363,16.9904819740058,998.805733475828,11,11,NA,NA,1
NA,1991-01-23,0,20.5,NA,0,61.2612956034297,20.2227653966039,998.187423126277,NA,NA,NA,NA,NA,NA,0
NA,1991-03-22,0,18.8999996185303,NA,0,21.3954756164122,18.5633098931299,998.519025540385,NA,NA,NA,NA,NA,NA,0
NA,1991-05-22,0,12,NA,0,2.95933039907826,11.9608309493698,999.530541138836,NA,NA,NA,NA,NA,NA,0
NA,1991-09-19,0,12.5,NA,0,13.3963728919097,12.170739442492,999.506449914864,NA,NA,NA,NA,NA,NA,0
NA,1991-11-21,0,17.3999996185303,NA,3.15504438583608,66.5813131658335,17.321314269473,998.747704381599,15.7782905497179,999.007765243067,2.9170383189202,3.43986519391572,NA,NA,1
NA,1992-01-15,0,20.8999996185303,NA,0,40.2882919344613,20.5476602908839,998.119092103851,NA,NA,NA,NA,NA,NA,0
NA,1992-04-01,0,16.8999996185303,NA,0,29.8466736338888,16.7187847373727,998.852469868935,NA,NA,NA,NA,NA,NA,0
NA,1992-06-11,0,10.1000003814697,NA,0,3.0011184492127,9.88837708664609,999.737830959832,NA,NA,NA,NA,NA,NA,0
NA,1992-09-01,0,9.80000019073486,NA,1,7.96044900201886,9.60705269382353,999.761592229663,8.90682176363472,999.816065292953,1,1,NA,NA,1
NA,1992-10-01,0,11.5,NA,0,8.82880053760649,11.2968484393016,999.603043188054,NA,NA,NA,NA,NA,NA,0
NA,1992-11-26,0,17.3999996185303,NA,8.5,63.023576439574,17.0406956911593,998.797004833745,16.0707071041955,998.960566824786,8.5,8.5,NA,NA,1
NA,1993-01-19,0,21.3999996185303,NA,0,37.4136265343016,21.3000673187218,997.956644792635,NA,NA,NA,NA,NA,NA,0
