"month","year","lake","air_temp_min","windspeed_min","air_temp_mean","windspeed_mean","air_temp_max","windspeed_max","rain_sum"
1,1980,"tarawera",11.8898,0.537357659704186,16.4163709677419,2.10614824643303,20.7066,4.13957940869601,234.2646727
1,1981,"tarawera",14.4415,0.0511618508848146,17.6396290322581,1.6513610443321,20.6056,4.34047113314903,191.936528432
1,1982,"tarawera",12.7383,0.393723664573264,16.1742612903226,2.30485913462213,18.7831,4.09886464556906,97.72771655
1,1983,"tarawera",11.1267,0.984608655235673,14.5497612903226,2.96957314257196,21.4339,4.54632648636193,78.67629088
1,1984,"tarawera",10.7633,0.343865817867959,15.0257516129032,1.99698525561408,18.1592,3.19304316877552,131.52696907
1,1985,"tarawera",14.9439,0.249137038442701,16.9237741935484,1.93026237036927,18.8845,3.72733908374325,219.31162793
1,1986,"tarawera",13.0288,0.251668001974824,17.204435483871,1.96002199848488,20.5507,5.02364766564097,440.49944766
1,1987,"tarawera",12.8211,0.718521851442947,16.9542612903226,2.28260264382977,19.7849,4.1291079078416,191.98493478
1,1988,"tarawera",11.7241,0.346761562686812,16.9246161290323,2.15801905347696,20.145,4.37852819773951,29.5788998
1,1989,"tarawera",13.8063,0.388597644398419,16.4659451612903,2.11536107095831,18.9201,4.02673711727001,326.68197058
1,1990,"tarawera",13.5395,0.104097042260767,16.6749258064516,1.96471867968599,19.459,5.02406753714557,155.7289104
1,1991,"tarawera",12.984,0.131581496421077,16.4245,2.51366696805922,19.2004,4.4608050989781,151.06665391
1,1992,"tarawera",11.294,0.195593829146014,15.8360838709677,1.76585957052408,18.5821,4.20111145204457,128.4967241
1,1993,"tarawera",11.8667,0.701227183976641,15.3807967741935,2.68936551308907,18.5917,4.35083829031832,55.95532538
1,1994,"tarawera",11.1886,0.902974719614254,16.8095387096774,2.08492122015618,20.9209,4.20588221338413,92.13906792
1,1995,"tarawera",12.555,0.482047323781597,15.8678129032258,1.75898968259471,17.3234,3.22456325988497,138.0640598
1,1996,"tarawera",12.2602,0.701319108771464,16.6743032258065,1.9708980696017,18.204,4.93525622132225,144.1275518
1,1997,"tarawera",9.91774,0.124767035710559,14.5033561290323,2.34186405076493,18.7762,4.18755094114794,87.547252056
1,1998,"tarawera",11.3859,0.517645800420413,17.0768483870968,2.46364440294796,21.4544,4.903604500987,40.91615789
1,1999,"tarawera",15.3474,0.342077914297313,17.9751741935484,1.83186531056086,21.5304,4.62426672251937,132.92809177
1,2000,"tarawera",11.7818,0.28890389674769,15.2841064516129,1.84925998657463,18.5409,3.91631327799501,134.5126204
1,2001,"tarawera",12.8206,0.27478635663455,15.5234419354839,2.14056370135123,19.0221,4.3563822991216,86.31282829
1,2002,"tarawera",12.9567,0.065570141937394,16.0089935483871,1.60169400339733,18.0921,4.58019927950739,192.70537581
1,2003,"tarawera",11.2808,0.661217369017179,15.552235483871,2.37485516289743,17.8872,4.30975900730528,131.91678119
1,2004,"tarawera",11.3739,0.356670058296179,17.5438612903226,1.50473653408795,20.1717,3.22143941591333,224.5734066
1,2005,"tarawera",13.0564,0.373266747183566,16.1800161290323,1.87137285880988,19.1292,3.34256865209976,64.79957847
1,2006,"tarawera",12.2363,0.680439152472872,16.6293516129032,2.19812426488305,20.0252,4.51987240449329,305.08706537
1,2007,"tarawera",10.3363,0.44109360820692,16.271164516129,1.99836276149246,19.6392,4.19767010673778,162.60923958
1,2008,"tarawera",14.754,0.504402418460697,17.6973806451613,1.85331993504379,20.0308,4.66885402748897,70.00450418
1,2009,"tarawera",14.3157,0.274563248236176,17.6543903225806,1.78753031968726,20.214,3.96616262229627,35.28023811
1,2010,"tarawera",12.9236,0.365669798628489,15.988235483871,1.97107345351568,18.3981,3.51387583702967,336.28139451
1,2011,"tarawera",14.4145,0.694027817915103,17.1592193548387,2.1712931418533,20.2309,4.25103204670219,448.9482406
1,2012,"tarawera",12.4187,0.436508613030717,15.5026032258065,2.25567480791756,17.7266,3.96421484075977,189.4867236
1,2013,"tarawera",12.8157,0.184260404086174,16.7877290322581,2.2971899894532,19.7756,4.34259518076461,39.25318714
1,2014,"tarawera",13.0734,0.487281978671488,15.4724838709677,2.44604183597035,18.5416,4.61636223682674,113.83369823
1,2015,"tarawera",16.0461,0.305363785877451,18.2879225806452,1.45851182168159,19.5484,2.61432522085528,51.88494228
1,2016,"tarawera",13.0744,0.506297085233561,17.4163903225806,1.88226054990992,20.0627,3.78702403542676,244.08204529
1,2017,"tarawera",13.0968,0.473765128848673,15.9792677419355,2.69643096792556,19.1409,4.50160327337939,56.0574701500001
1,2018,"tarawera",13.4802,0.250918992545403,18.3675709677419,1.96464514092096,20.7598,4.89180719825506,376.8218477
1,2019,"tarawera",14.5253,0.454398477464439,18.587835483871,2.19698183627716,22.3753,4.88922154115561,73.86802335
1,2020,"tarawera",12.7651,0.633426564750801,17.3099225806452,2.35364794885641,22.1633,5.43694375958589,38.05857613
1,2021,"tarawera",12.1168,0.122052306679923,16.8212387096774,1.84152398062913,20.7725,3.85548329867881,133.70609463
1,2022,"tarawera",15.9394,0.282289785468763,18.4714806451613,1.78424342937851,21.7877,3.165249811316,48.649547515
1,2023,"tarawera",14.1897,0.737449953792798,16.0181161290323,2.55094560616708,18.2104,4.77737701627159,500.021688
2,1980,"tarawera",12.9972,0.140716180519548,16.2674206896552,2.12169104306324,20.4704,3.81365842556737,89.5002349
2,1981,"tarawera",14.9586,0.650001116252118,16.6420607142857,2.03411627320474,20.0925,4.52841092828378,103.849543
