"Date","MET_tmpair","MET_tmpdew","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow","MET_prsttn","MET_radswd"
1980-01-01,15.3931,11.6962,4.21391,-0.422118,16.3186,0,96989.7,221.946
1980-01-02,14.0961,7.84202,3.41116,1.1212,0.329983,0,96951.9,265.34
1980-01-03,14.1787,7.84161,-0.185912,3.58545,0.388093,0,97564,316.916
1980-01-04,14.8339,8.59341,-1.02188,3.80203,0.305079,0,97880.5,280.588
1980-01-05,15.1441,8.67655,-1.1151,2.19258,0.0332059,0,97949,377.176
1980-01-06,15.1571,9.78879,0.0622173,0.0403719,0.149426,0,97808.7,285.602
1980-01-07,15.8412,13.199,-0.289651,-1.74906,5.52462,0,97978.8,227.246
1980-01-08,16.5817,13.2559,-0.149585,-1.77663,4.86881,0,98243.3,220.663
1980-01-09,17.269,13.584,0.6662,-0.965974,2.33479,0,98259.4,232.911
1980-01-10,19.2097,13.4885,1.42625,-0.124499,0.487711,0,97850.6,355.804
1980-01-11,17.4401,16.5734,1.07611,-1.10563,7.59584,0,97434.5,80.1303
1980-01-12,20.3735,15.8498,3.33367,1.36762,3.24795,0,97313.5,335.158
1980-01-13,20.2631,15.2496,3.35138,1.71655,0.0311305,0,97391.1,317.889
1980-01-14,20.481,17.0304,2.67947,-0.249827,1.03561,0,97057.2,238.545
1980-01-15,18.1815,17.5397,2.28165,-4.16772,21.9013,0,95831.6,76.963
1980-01-16,13.7467,9.94773,5.18469,-1.71071,14.9945,0,95251.9,285.286
1980-01-17,13.078,7.79325,4.09485,0.918319,6.21987,0,96197.5,288.28
1980-01-18,15.5336,10.0705,3.85328,-1.37471,1.68312,0,97282.2,266.394
1980-01-19,17.1117,14.9483,2.74218,-4.15209,6.09327,0,97366.3,115.194
1980-01-20,15.0517,13.9705,0.42106,-0.515882,31.2633,0,97629.3,90.3512
1980-01-21,17.1601,16.8719,0.484308,-3.37109,60.1483,0,97179.2,60.55
1980-01-22,16.2343,12.3868,3.42527,-2.06169,36.1114,0,96915.4,242.14
1980-01-23,15.4655,12.1313,1.41206,-2.47849,0.691097,0,97589,199.236
1980-01-24,17.4174,14.485,1.9035,-2.29759,2.29535,0,97708.4,229.291
1980-01-25,16.9022,12.7808,0.912276,-0.481223,0.608082,0,98323.9,357.459
1980-01-26,18.6661,16.1667,0.0604438,-1.16339,0.00830146,0,98483.4,349.661
1980-01-27,19.9148,17.1951,0.0819648,-0.999539,0.141125,0,98624.8,300.441
1980-01-28,19.3443,17.217,-0.61669,-1.03801,0.195084,0,98747.1,262.303
1980-01-29,19.6088,17.0213,-0.109811,-0.944713,0.0477334,0,98768.3,307.222
1980-01-30,19.774,16.8625,0.0947379,-1.21807,0.157728,0,98769.7,255.739
1980-01-31,20.3677,17.6084,-0.303446,-1.19677,0.108681,0,98659,317.915
1980-02-01,20.5728,16.9352,0.403097,-0.926781,0.071744,0,98340.4,338.962
1980-02-02,19.2372,15.2405,1.37042,-0.579512,0.0866906,0,97887.8,329.178
1980-02-03,18.322,14.2282,1.60415,-1.21347,0.00298933,0,97606.1,328.369
1980-02-04,19.1701,16.1178,0.792104,-1.42965,0.639717,0,97513.3,212.185
1980-02-05,20.3999,16.7506,-0.0276408,-0.00320862,0.591888,0,97358.6,287.443
1980-02-06,20.5602,15.5078,2.50581,0.324572,0.167403,0,96950.6,314.504
1980-02-07,18.8089,14.876,-0.508944,0.0259475,1.36612,0,97574.7,187.304
1980-02-08,18.3627,14.3037,-0.833634,-0.832647,1.21068,0,97785.6,330.092
1980-02-09,18.9393,16.3703,1.04101,-2.02743,2.04769,0,97534.3,184.31
1980-02-10,15.8265,8.40821,2.66195,2.15576,1.69196,0,97739.2,309.169
1980-02-11,15.3799,6.53693,-3.14158,2.5396,0.0149467,0,98589.9,246.762
1980-02-12,15.7306,9.45647,-4.26497,2.18039,1.15089,0,98839.7,210.373
1980-02-13,16.3919,14.4302,-4.4878,-0.459952,19.1885,0,98561.5,94.2168
1980-02-14,16.9792,12.9021,-4.14882,0.233064,2.70833,0,98481.2,104.146
1980-02-15,16.8603,11.6638,-3.33063,1.03052,0.215232,0,98443.1,196.123
1980-02-16,17.8301,13.938,-3.50281,0.410429,1.08513,0,98147.2,241.025
1980-02-17,17.0103,13.9836,-1.59898,0.507521,3.93994,0,97703.8,159.897
1980-02-18,17.2618,14.6797,0.233797,-0.0651406,7.48828,0,97434.8,253.747
1980-02-19,17.5468,13.66,0.90164,0.0186419,5.89197,0,97292.1,277.168
1980-02-20,16.9638,13.1582,4.0658,1.22296,0.917725,0,96789.9,171.231
1980-02-21,16.0508,12.4456,2.78145,0.313603,2.63659,0,96888,174.302
1980-02-22,17.1367,13.3703,3.85235,-0.780647,5.0161,0,96636.1,176.761
1980-02-23,15.2665,9.48511,0.707964,0.451217,0.588898,0,97501.4,223.614
1980-02-24,15.6362,13.4215,0.330057,-4.17296,7.43746,0,97755.7,145.284
1980-02-25,15.0365,10.8966,4.75966,-0.808545,5.85311,0,96900.7,232.707
1980-02-26,15.7343,10.1313,3.89859,1.22457,0.352741,0,96967.9,205.857
1980-02-27,15.5785,10.3254,1.82397,0.722782,0.0298933,0,97519.7,273.594
1980-02-28,14.5841,10.9192,-1.20794,-0.613656,2.52599,0,97420.4,185.313
1980-02-29,14.2439,13.6457,-3.70624,-2.92435,30.7358,-8.67362e-16,96751.7,76.9259
1980-03-01,16.0664,14.3947,3.46737,-1.47382,17.0656,-8.67362e-16,96062.8,89.9134
1980-03-02,16.922,12.4749,1.51412,3.2477,0.731185,-8.67362e-16,97029.5,223.255
1980-03-03,15.8699,11.2898,-1.87481,3.24921,0.557507,-8.67362e-16,97745,237.198
1980-03-04,15.934,11.3959,-2.95368,1.99381,0.587032,-8.67362e-16,98149.8,157.508
1980-03-05,15.2692,9.89682,-2.80988,2.8437,0.371671,-8.67362e-16,98434.2,205.981
1980-03-06,14.7693,10.6356,-2.7318,3.2664,3.07063,-8.67362e-16,98312.5,177.293
1980-03-07,15.7476,10.8438,-2.77353,2.51122,3.70977,-8.67362e-16,98164.4,230.447
1980-03-08,15.4193,10.7668,-0.37305,0.674471,0.192783,-8.67362e-16,97933.4,237.326
1980-03-09,16.1489,11.7258,1.65726,0.312343,0.191046,-8.67362e-16,97654.2,244.437
1980-03-10,15.9771,13.3726,1.43037,-0.846631,1.78541,-8.67362e-16,97483.8,193.135
1980-03-11,15.892,14.485,1.54425,-2.13082,12.7723,-8.67362e-16,96930.1,166.745
1980-03-12,14.4228,8.64305,0.804864,1.73704,8.75512,-8.67362e-16,97330.3,235.188
1980-03-13,12.9898,7.76696,-2.04789,0.241074,0.224045,-8.67362e-16,98040,171.502
1980-03-14,13.0474,11.3359,-2.45822,2.03637,61.1886,-8.67362e-16,96247.1,38.7569
1980-03-15,15.0216,11.09,5.48304,0.405259,48.0463,-8.67362e-16,96124.2,185.467
1980-03-16,12.3143,6.39815,5.34598,1.45857,0.859707,-8.67362e-16,96369.9,177.195
1980-03-17,10.841,4.24679,2.30018,1.58539,0.680818,-8.67362e-16,97209.2,238.878
1980-03-18,13.3971,9.94992,2.78995,0.176439,0.272675,-8.67362e-16,97793.2,158.129
1980-03-19,16.1888,12.5808,3.64694,-0.13255,0.197993,-8.67362e-16,97630.6,190.118
1980-03-20,13.0473,6.87785,2.34851,2.62491,0.0764184,-8.67362e-16,97673.1,236.088
