"Date","MET_tmpair","MET_tmpdew","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow","MET_prsttn","MET_radswd"
1980-01-01,14.193,11.0887,3.41471,-0.464173,14.9406,0,95613.5,199.738
1980-01-02,12.7392,7.04529,2.68411,1.01513,0.819769,0,95584.3,243.089
1980-01-03,12.96,7.12655,-0.17007,3.21549,0.383943,0,96217.4,297.59
1980-01-04,13.5178,7.80954,-0.995619,3.19634,0.259421,0,96539.2,262.433
1980-01-05,14.1822,7.88181,-1.08049,2.09021,0.0394319,0,96596.9,372.167
1980-01-06,14.8691,9.16365,-0.0331526,0.536334,0.219989,0,96438.6,276.888
1980-01-07,15.2702,12.6325,-0.365054,-1.10561,6.07044,0,96600.7,211.868
1980-01-08,15.9499,13.1995,-0.0563873,-1.26669,6.44194,0,96863.3,207.077
1980-01-09,16.7654,13.3563,0.782074,-0.292185,4.75051,0,96888.4,206.854
1980-01-10,18.9585,12.2889,1.36589,0.404074,0.838448,0,96497.9,353.126
1980-01-11,16.5362,15.8101,0.79959,-0.881352,5.948,0,96074.6,66.3329
1980-01-12,19.3777,15.1522,2.79439,1.38046,2.30158,0,95986.3,329.715
1980-01-13,19.2024,14.6799,2.76234,1.44782,0.0415073,0,96073.3,307.439
1980-01-14,19.766,16.3492,2.43933,0.202149,1.10409,0,95722.3,224.705
1980-01-15,17.366,17.0109,1.54796,-3.27284,27.4571,0,94459.7,66.2586
1980-01-16,12.3818,9.6149,3.84475,-1.53428,21.2476,0,93872.8,271.985
1980-01-17,11.8898,7.34783,3.10116,0.729117,9.55083,0,94829.7,278.406
1980-01-18,14.4195,9.44346,3.34666,-1.07679,2.83495,0,95900.4,244.396
1980-01-19,16.0642,14.3889,2.01278,-3.10839,5.41048,0,95970.1,83.1302
1980-01-20,14.2972,13.2549,0.539146,-0.420164,27.5152,0,96258.4,99.1031
1980-01-21,16.1686,16.1161,-0.224829,-2.16427,60.3288,0,95799.4,52.455
1980-01-22,15.2179,11.5396,2.731,-1.76176,31.4148,0,95535,235.49
1980-01-23,14.7778,11.4334,1.14213,-1.98516,0.952593,0,96203.9,177.294
1980-01-24,16.4944,13.4129,1.60053,-1.73574,2.48421,0,96334.7,216.064
1980-01-25,16.7091,11.9197,0.84586,-0.246431,0.570726,0,96949.8,357.595
1980-01-26,18.648,15.1673,0.356636,-1.10828,0.0145276,0,97108.3,351.583
1980-01-27,19.8511,16.2906,0.376364,-0.612971,0.101693,0,97258.9,301.055
1980-01-28,19.5897,16.7281,-0.445379,-0.938689,0.0435827,0,97372.9,264.566
1980-01-29,19.9315,16.6009,0.00700002,-0.773888,0.0166029,0,97395.2,298.489
1980-01-30,20.1067,16.2913,0.299367,-0.651863,0.122447,0,97397.9,250.248
1980-01-31,20.7066,16.9665,0.000764503,-0.731897,0.0388613,0,97290.1,323.375
1980-02-01,20.4704,15.6958,0.57618,-0.535347,0.0597866,0,96980.1,342.675
1980-02-02,18.6817,14.1068,1.26414,-0.264643,0.0298933,0,96529.5,325.844
1980-02-03,17.7259,13.1285,1.43761,-0.686889,0.0328827,0,96242.5,334.73
1980-02-04,18.6436,15.0626,0.857033,-0.919498,0.651674,0,96158.2,192.89
1980-02-05,20.2005,15.9117,-0.0231551,0.138798,0.678578,0,96021.9,273.494
1980-02-06,19.6422,14.8109,2.24091,0.327816,0.278008,0,95620.4,306.56
1980-02-07,17.8255,14.1427,-0.748225,0.0562073,1.62919,0,96230.5,161.982
1980-02-08,17.7945,13.5065,-0.712385,-1.0849,1.32726,0,96425.1,331.854
1980-02-09,17.9376,15.4542,0.983787,-1.5957,2.88769,0,96174.6,154.689
1980-02-10,14.3833,7.67755,2.25638,1.78927,2.7472,0,96385.5,303.772
1980-02-11,13.9864,5.92099,-2.42147,1.88998,0.0149467,0,97235.5,233.108
1980-02-12,14.4445,8.64892,-3.33378,1.48901,0.768258,0,97485.8,205.495
1980-02-13,15.2863,13.8397,-3.15273,-0.475997,16.2919,0,97200.9,96.1179
