"Date","MET_tmpair","MET_tmpdew","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow","MET_prsttn","MET_radswd"
1980-01-01,14.3881,11.4734,3.98637,-0.317981,17.3895,0,96422.7,208.818
1980-01-02,13.1896,7.60256,3.10863,1.25564,1.64992,0,96385.3,256.936
1980-01-03,13.7639,7.47144,-0.416904,3.15527,0.489786,0,96991,295.836
1980-01-04,14.3878,8.12663,-1.26409,3.15994,0.311305,0,97304,269.977
1980-01-05,14.9828,8.67142,-1.2674,1.77035,0.0518841,0,97358.6,370.388
1980-01-06,15.2096,10.0267,0.217148,0.428614,0.354888,0,97218.3,254.952
1980-01-07,15.7428,12.9849,-0.0975163,-1.35891,6.0829,0,97372.6,232.707
1980-01-08,16.284,13.2519,-0.00991786,-1.47131,5.46859,0,97641.6,220.948
1980-01-09,17.094,13.3446,0.705775,-0.525116,3.61944,0,97670.9,228.678
1980-01-10,18.9865,12.9132,1.71607,0.366555,0.830146,0,97284,352.451
1980-01-11,16.9401,16.033,1.13693,-0.900937,7.94658,0,96850.1,73.7956
1980-01-12,19.3451,15.5867,3.14956,1.52079,4.09677,0,96779.7,319.749
1980-01-13,19.188,15.0308,3.19755,1.68501,0.0498088,0,96864.7,297.881
1980-01-14,19.7155,17.1483,2.49437,0.0309746,2.07122,0,96503.7,202.936
1980-01-15,17.7426,17.2881,2.04374,-3.62745,30.9603,0,95231.6,73.5477
1980-01-16,12.7056,10.2073,4.6051,-1.43928,29.3706,0,94677.1,272.481
1980-01-17,12.2569,7.90353,3.94797,0.891872,13.2118,0,95637.6,296.282
1980-01-18,14.9285,9.91096,3.68496,-1.11038,2.60873,0,96705.4,250.353
1980-01-19,16.5339,14.7647,2.55208,-3.35998,9.85591,0,96765.1,98.725
1980-01-20,14.6276,13.7232,0.419486,-0.298325,36.3189,0,97037.2,96.4813
1980-01-21,16.7627,16.6952,0.112851,-2.73778,59.9822,0,96560.3,59.2979
1980-01-22,15.4819,11.8398,3.28144,-1.65144,28.0527,0,96334.1,239.667
1980-01-23,15.2088,11.8324,1.22567,-2.13977,1.42163,0,96987.8,192.635
1980-01-24,16.7724,13.7609,1.84412,-1.72373,3.4036,0,97120.5,226.62
1980-01-25,16.7962,12.3706,0.941071,-0.246129,0.651665,0,97736.5,355.314
1980-01-26,18.7665,15.5549,0.236119,-1.10133,0.0103768,0,97886,350.876
1980-01-27,19.7249,16.4729,0.370426,-0.550098,0.101693,0,98034.1,287.208
1980-01-28,19.2976,16.6758,-0.645126,-0.999911,0.217913,0,98145.5,267.485
1980-01-29,19.5907,16.4159,-0.0644377,-0.782145,0.0518841,0,98172.5,311.623
1980-01-30,19.8151,16.379,0.326866,-0.73895,0.186783,0,98176,255.157
1980-01-31,20.3633,17.0844,0.116159,-0.73583,0.0567973,0,98064.1,327.929
1980-02-01,19.829,15.6177,0.968993,-0.343128,0.0508186,0,97761.6,341.989
1980-02-02,18.034,13.9893,1.73024,0.0221513,0.017936,0,97319.3,323.329
1980-02-03,17.7987,13.4225,1.56778,-0.729663,0.026904,0,97025.5,322.872
1980-02-04,18.9831,15.554,1.04998,-1.00416,0.663632,0,96927.5,212.274
1980-02-05,20.1156,16.1974,0.266828,0.0917862,0.947618,0,96784.2,280.998
1980-02-06,19.3412,14.9436,2.57532,0.466689,0.421496,0,96403.3,302.356
1980-02-07,18.3674,14.9695,-0.651806,-0.318541,1.91018,0,96986.8,179.894
1980-02-08,18.2531,14.0838,-1.09072,-1.14191,1.52456,0,97189.2,323.781
1980-02-09,18.2156,15.7569,1.07631,-1.63099,2.6336,0,96949,165.873
1980-02-10,14.7086,8.02416,2.66272,2.05216,2.50805,0,97179.3,299.524
1980-02-11,14.8645,6.27401,-2.84919,1.82217,0.017936,0,97981.7,241.131
1980-02-12,15.2241,9.17642,-4.14716,1.54767,1.71289,0,98215.2,211.248
1980-02-13,15.6834,14.1621,-4.44625,-0.608425,16.4503,0,97922,89.9017
1980-02-14,16.4484,12.9299,-4.04041,-0.0979385,3.26136,0,97854.5,92.2822
1980-02-15,16.5522,11.3592,-3.54971,0.520013,0.364699,0,97828,202.356
1980-02-16,17.4203,13.5378,-3.69982,0.0568473,1.20171,0,97538.1,237.167
1980-02-17,16.7108,13.6674,-1.79819,0.16407,2.99232,0,97110.3,134.112
1980-02-18,16.8762,14.5222,0.0912748,0.0958252,11.3834,0,96852.8,244.03
1980-02-19,17.3104,13.6477,0.927716,0.38273,11.0456,0,96718.6,259.601
1980-02-20,16.0711,13.016,3.92858,1.26472,1.51559,0,96244.9,160.644
1980-02-21,15.3778,12.432,2.75773,0.245711,3.43474,0,96320.8,158.48
1980-02-22,16.2829,13.0054,3.58054,-0.353965,8.00244,0,96078.9,183.652
1980-02-23,14.3434,9.0192,0.913715,0.675858,0.185339,0,96928.1,212.854
1980-02-24,15.0369,13.1755,0.312251,-3.46127,6.75589,0,97146.2,159.044
1980-02-25,14.0837,10.6897,4.38757,-0.472841,6.37923,0,96335.1,224.216
1980-02-26,14.9062,10.1251,3.82455,1.36263,1.2615,0,96412.9,205.863
1980-02-27,15.2249,10.4841,1.93629,0.930274,0.155445,0,96957.8,273.505
1980-02-28,14.3952,10.967,-0.830508,-0.514887,1.52755,0,96822.2,181.868
1980-02-29,14.0158,13.6782,-3.34845,-2.62433,24.6137,-8.67362e-16,96108.7,80.2448
1980-03-01,15.2491,13.9794,3.00193,-1.07139,13.4601,-8.67362e-16,95495.5,77.4061
