"lake","site","laketype","date","year","month","chla_ugL_INT","NH4_mgL","TN_mgm3","TP_mgm3","pH","secchi_m","PAR_umolm2s_1","turbidity_ntu_1","turbidity_ntu_8","DO_sat_1","DO_sat_8","SpC_uScm_1","SpC_uScm_8","temp_C_1","temp_C_8","chla_ugL_8","thermo_depth","schmidt_stability","epi_temp","epi_dens","hypo_temp","hypo_dens","meta_top","meta_bot","uStar","lake_num","depth_m","volume_km2","catchment_km2","ratio_km2"
"Rotoma","1","Stratified",2007-01-16,2007,1,0.4,0.02,NA,11,7.5,9.99,NA,1.36,0.8477,71.76474,82.1461,138.7624,132.7322,20.3471,19.2398,0.8731,23.9613396184575,730.956030582229,18.8854390332587,998.456960690684,11.3377073701431,999.598745363499,23.7066379082587,24.6208356530273,0.00336386899622645,4.42256245843936,83,0.429,33.9,79
"Rotoehu","3","Polymictic",2007-01-16,2007,1,19.1,0.022,NA,74,8.3,0.57,102.8799973,2.96420002,0.955900013,95.49523163,82.29109955,455.2750854,439.6424255,21.45849991,19.54389954,0.976000011,2.60738265681435,103.022606399494,21.4185337349215,997.930536946979,19.8224183914161,998.27010176764,2.20883606960483,3.12550370301525,0.00336475612562703,0.0688573712879312,13.5,0.061,42.3,693
"Rotoiti","Okawa","Stratified",2007-01-16,2007,1,6,0.016,NA,37,7.7,4.8,178.0200043,1.142799973,NA,77.40753937,NA,164.3276825,NA,21.96750069,NA,NA,2.99912654891467,79.3359672743697,21.9621964072147,997.808890416666,20.0291996,998.227608324277,2.22130094412203,4,0.00336496122423738,0.0618378107986058,124,1.042,578,555
"Rotoiti","3","Stratified",2007-01-16,2007,1,4.5,0.013,NA,20,7.1,6.1,332.25,1.051100016,0.889900029,79.53630066,80.93453979,169.6314697,153.898819,20.94849968,18.33009911,1.3749,2.62795179457308,548.083424283458,20.9265110112979,998.038027146538,16.843035859937,998.831199990784,2.07512953815732,3.3924631276537,0.00336457492609534,0.375303653728768,124,1.042,578,555
"Okataina","1","Stratified",2007-01-16,2007,1,1.8,0.013,NA,14,7.8,8.19,831.82,0.8491,0.885,69.32184,84.96347,91.44369,90.1227,20.1904,19.3672,1.2185,17.2534625730191,708.679270692697,19.5490324079732,998.325588823242,11.7304089239655,999.556341578957,16.3418045879779,17.9215610039592,0.0033640903184181,3.0396925348857,78.5,0.466,63.6,136
"Rotorua","5","Polymictic",2007-01-17,2007,1,NA,NA,NA,NA,NA,2.42,407.4899902,1.43809998,1.416700006,76.38986969,81.67527008,181.2088013,182.0137024,19.60110092,20.02009964,2.5955,13.4978494608384,109.132120919382,19.9150079971553,998.25113036803,18.970518946112,998.44038122849,13.4978494608384,13.4978494608384,0.000895902540971378,5.20590187045634,44.8,0.802,482,601
"Rotorua","2","Polymictic",2007-01-17,2007,1,NA,NA,NA,NA,NA,2.4,266.7999878,1.387300014,1.334200025,75.701828,73.68901062,182.5594025,183.2123108,19.76639938,20.09009933,2.7059,10.1322627024151,90.5382506873655,19.9521226611827,998.243500273383,19.1349748308263,998.40811318211,10.1322627024151,10.1322627024151,0.000895905964889549,3.2421123362416,44.8,0.802,482,601
"Tikitapu","1","Stratified",2007-01-17,2007,1,1.1,0.024,NA,5,6.7,5.17,1480.8,0.9256,0.8931,80.29105,80.28055,13.54176,13.39649,19.8227,19.2938,1.0623,13.6236805157138,603.710691523217,19.3550897355559,998.364470644568,11.804610830108,999.548107101414,12.2084064255422,15.3244829629714,0.000895851685433745,29.3425062759339,27.5,0.026,6,227
"Okareka","1","Stratified",2007-01-17,2007,1,1.5,0.001,NA,7,7.8,8.82,1039.699951,0.8671,0.913,75.14002991,82.08158875,68.46677399,66.77753448,20.65620041,18.8227005,1.3146,13.6749263249038,682.921998548616,19.8988548803871,998.254446618035,11.1706423381083,999.616181935368,11.0618070748818,15.4860845008518,0.000895901052854154,31.9992829215021,33.5,0.064,17.5,275
"Tarawera","5","Stratified",2007-01-17,2007,1,2.1,0.021,NA,18,8,6.48,1021.799988,0.911000013,0.934300005,73.61255646,83.80323029,463.6881409,464.2833557,19.57029915,19.50429916,1.3491,16.4765476812505,683.460460086498,19.4136579123649,998.35277105946,12.02873016933,999.522809487944,16.2859088063389,16.6580496277192,0.000895856934611508,39.7476655806755,87.5,2.274,150,66
