"lake","site","date","year","month","chla_ugL_INT","top_TN_ugL","top_TP_ugL","secchi_m","top_DRP_ugL","bottom_DRP_ugL","top_NH4_ugL","bottom_NH4_ugL","top_NO3_ugL","bottom_NO3_ugL","top_pH","bottom_pH","bottom_TN_ugL","bottom_TP_ugL","top_turbidity_NTU","bottom_turbidity_NTU","TN_TP","DN_DP","DN_TN","DP_TP","method","chla_ugL_8","DO_sat_1","DO_sat_8","PAR_umolm2s_1","turbidity_ntu_1","temp_C_1","temp_C_8","thermo_depth","schmidt_stability","epi_temp","epi_dens","hypo_temp","hypo_dens","meta_top","meta_bot","uStar","lake_num","air_temp_min","rain_min","air_pressure_min","shortwave_min","longwave_min","windspeed_min","air_temp_mean","rain_mean","air_pressure_mean","shortwave_mean","longwave_mean","windspeed_mean","air_temp_max","rain_max","air_pressure_max","shortwave_max","longwave_max","windspeed_max","avg_level_m","hydroyear","hydroyear_label","monthly_avg_level_m","sum_alum","area_pct_aq_vegetation","area_pct_decid_hardwood","area_pct_exotic_forest","area_pct_forest_harvested","area_pct_gorse","area_pct_hp_exotic_grassland","area_pct_manuka","area_pct_native_forest","area_pct_native_hardwood","area_pct_settlement","area_pct_water","area_ha_aq_vegetation","area_ha_decid_hardwood","area_ha_exotic_forest","area_ha_forest_harvested","area_ha_gorse","area_ha_hp_exotic_grassland","area_ha_manuka","area_ha_native_forest","area_ha_native_hardwood","area_ha_settlement","area_ha_water"
"Rotoehu","3",2000-07-11,2000,7,9.9,411,20,2.8,2,2,49,54,15,17,7.8,7.7,400,21,3.1,2.4,20.55,32,0.155717761557178,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78493,0.00221132,97050.5,39.4557,273.462,1.17972056358656,9.38542774193548,7.14079910258064,98056.9741935484,81.7479838709677,311.816709677419,3.56615441677584,12.2546,42.5457,99155,115.282,366.038,5.72071260288436,294.767962514733,2001,"2000-2001",294.827542150151,0,1.28725611262549,0.039910384120053,19.7331107173276,0,0.324127232135389,35.1943612048803,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,900.02908043448,0,14.7834742763808,1605.21820433981,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2000-08-23,2000,8,6.7,495,18,2.8,3,2,43,45,74,69,7.6,7.6,442,18,3,2.6,27.5,39,0.236363636363636,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97593,0.00314288,95178.3,46.821,258.391,0.363262585721404,8.1655335483871,8.59245747290323,97410.1838709677,129.476732258065,304.369387096774,2.48056019554323,10.7521,42.5954,99102.7,181.602,351.87,5.25645526348318,294.909203965347,2001,"2000-2001",294.91580665587,0,1.28725611262549,0.039910384120053,19.7331107173276,0,0.324127232135389,35.1943612048803,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,900.02908043448,0,14.7834742763808,1605.21820433981,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2000-09-28,2000,9,7,501,28.5,3,9,8,86.5,88,96.5,96,7.8,7.8,502,27,2.2,2.3,17.5789473684211,20.3333333333333,0.365269461077844,0.315789473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72096,-6.93889e-15,96310,105.075,262.338,0.683094479978429,10.0371586666667,4.30868569966667,97516.79,179.8375,311.351266666667,2.69164095887199,13.6791,21.3547,99026.2,251.617,367.695,4.68216579559599,294.977390848419,2001,"2000-2001",295.022768059158,0,1.28725611262549,0.039910384120053,19.7331107173276,0,0.324127232135389,35.1943612048803,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,900.02908043448,0,14.7834742763808,1605.21820433981,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2000-10-25,2000,10,6.9,415,19,1.4,2.5,4,5,97,13,42,8.4,7.9,480,22,4.25,2.7,21.8421052631579,7.2,0.0433734939759036,0.131578947368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2474,-6.93889e-15,96509.6,98.4635,257.255,0.381820636342511,11.8148461290323,4.14068977193548,97864.8580645161,228.688887096774,317.313096774194,3.02639685138551,14.4653,23.1637,98808.6,313.828,369.783,5.56242619813513,294.889997156556,2001,"2000-2001",294.940243194525,0,1.28725611262549,0.039910384120053,19.7331107173276,0,0.324127232135389,35.1943612048803,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,900.02908043448,0,14.7834742763808,1605.21820433981,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2000-11-28,2000,11,17.1,557,30.5,1.3,2,16,3,8,0.5,0.5,8.15,8.2,543.5,31,10.7,8.3,18.2622950819672,1.75,0.00628366247755835,0.0655737704918033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89957,0.00115028,96127.2,79.6974,279.643,0.530503375320082,12.1219253333333,6.212399018,97265.61,258.081413333333,320.232033333333,3.14685653728066,14.4182,39.4591,98389.2,343.496,373.164,6.88214299653821,294.783793448902,2001,"2000-2001",294.845723437419,0,1.28725611262549,0.039910384120053,19.7331107173276,0,0.324127232135389,35.1943612048803,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,900.02908043448,0,14.7834742763808,1605.21820433981,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2000-12-15,2000,12,21.5,551.25,26,1.4,3,17,2.5,156,1.75,3,8.4,7.6,500,28,8.75,3.4,21.2019230769231,1.41666666666667,0.00770975056689342,0.115384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5088,0.0445096,96608,138.073,305.522,0.17300644634432,15.8622870967742,5.71670692258065,97586.6935483871,250.279258064516,355.936129032258,2.51295234103449,19.7954,23.3442,98458.6,372.562,402.558,5.5676301227093,294.834103053409,2001,"2000-2001",294.794609840707,0,1.28725611262549,0.039910384120053,19.7331107173276,0,0.324127232135389,35.1943612048803,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,900.02908043448,0,14.7834742763808,1605.21820433981,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2001-01-18,2001,1,18.3,613.5,51.5,1.7,9.5,11,4.5,2,2,2,8.065,8.05,697,56,8,14,11.9126213592233,0.684210526315789,0.0105949470252649,0.184466019417476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9476,0.0117791,96544.8,164.443,309.788,1.075428622041,16.4616677419355,3.39965060322581,97636.4612903226,285.990290322581,342.956129032258,2.76762217167516,20.1408,27.1344,98741.5,370.466,384.066,5.1699897426522,294.623472262421,2001,"2000-2001",294.639527908254,0,1.28725611262549,0.039910384120053,26.5157203749095,0,0.324127232135389,28.4117515472981,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,1209.38456019161,0,14.7834742763808,1295.86272458267,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2001-02-14,2001,2,12.6,520.5,46.5,2.4,14.5,33,4,143,0.5,1,7.855,7.43,497,50,4.6,1.7,11.1935483870968,0.310344827586207,0.00864553314121038,0.311827956989247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1372,0.235264,96609.4,87.9926,324.063,0.453053459358827,17.9777035714286,17.13743525,97808.0642857143,220.431953571429,370.014107142857,2.00512939155482,20.0593,89.0071,98394.3,341.591,410.386,4.22806817509179,294.562411903892,2001,"2000-2001",294.594716024788,0,1.28725611262549,0.039910384120053,26.5157203749095,0,0.324127232135389,28.4117515472981,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,1209.38456019161,0,14.7834742763808,1295.86272458267,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2001-03-21,2001,3,17,520,59,2,38,39,7.5,13,0.5,2,7.75,7.7,422,54,4.45,3.6,8.8135593220339,0.210526315789474,0.0153846153846154,0.644067796610169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.975,0.00707209,96991.8,104.091,289.247,0.189894752547299,14.9454935483871,3.63929808677419,98420.6064516129,198.669225806452,336.964451612903,1.95863291166472,17.54,28.055,99169.6,250.924,382.998,3.88587803743247,294.579083333333,2001,"2000-2001",294.605565403237,0,1.28725611262549,0.039910384120053,26.5157203749095,0,0.324127232135389,28.4117515472981,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,1209.38456019161,0,14.7834742763808,1295.86272458267,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
"Rotoehu","3",2001-04-18,2001,4,10.9,391,54.5,2.2,27,28,12,18,0.5,0.5,7.75,7.6,393.5,53,3.05,3.2,7.1743119266055,0.462962962962963,0.0319693094629156,0.495412844036697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9633,0,96456,54.6074,278.154,0.334366606742973,13.11103,11.846734649,98416.4466666667,144.30969,326.4947,2.39554049177475,17.0236,94.8448,99443.3,209.156,392.748,4.53976235405555,294.75403125,2001,"2000-2001",294.688835763889,0,1.28725611262549,0.039910384120053,26.5157203749095,0,0.324127232135389,28.4117515472981,0.0278573074488772,25.2560792121917,0.569984024442082,0.236639529112393,17.3306742757161,58.7118752803958,1.82031646372999,1209.38456019161,0,14.7834742763808,1295.86272458267,1.27057447585177,1151.93220543627,25.9970262534677,10.7931517150236,790.453722939158
